,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1458,15800005,TotalEnergies,4497767.5282279,262331.27421777,15800,12 AVENUE MAX MABIT FOURNIER,VIC SUR CERE,R
1459,16000004,Intermarché,4566100.0,14000.0,16000,186 Rue de Saintes,Angoulême,R
1460,16000005,Intermarché,4563200.0,15200.0,16000,Boulevard Jean Moulin,Angoulême,R
1461,16000008,TotalEnergies Access,4564300.0,13500.0,16000,430 ROUTE DE BORDEAUX,ANGOULEME,R
1462,16000009,TotalEnergies,4566000.0,16500.0,16000,BD DU 8 MAI 1945,ANGOULEME,R
1463,16021001,E.Leclerc,4565800.0,18100.0,16000,5 avenue Paul Desfarges,Angoulême,R
1464,16100001,Auchan,4568400.0,-30500.0,16100,40 rue de l'Annisserie,Châteaubernard,R
1465,16100004,E.Leclerc,4568600.0,-33800.0,16100,105 Rue Basse Saint-Martin,COGNAC,R
1466,16100005,Avia,4568800.0,-31300.0,16100,220 Avenue Victor Hugo,COGNAC,R
1467,16100006,Intermarché,4569892.4520397,-34408.751817818,16100,20 avenue des Saintes,Cognac,R
1468,16100007,Intermarché,4569200.0,-30900.0,16100,70 Rue de l'Échassier,COGNAC,R
1469,16100008,TotalEnergies,4569309.0,-32722.0,16100,43 PLACE DE LA CORDERIE,COGNAC,R
1470,16110001,E.Leclerc,4574200.0,38700.0,16110,Route de Limoges,LA ROCHEFOUCAULD,R
1471,16110003,Casino,4574695.0,38339.0,16110,ROUTE DE MANSLE,Rivières,R
1472,16110004,Avia,4574594.0,38625.0,16110,18 Boulevard du 8 Mai,LA ROCHEFOUCAULD,R
1473,16110005,Esso,4573600.0,38600.0,16110,22 Rue faubourg tête noire,LA ROCHEFOUCAULD,R
1474,16120001,Système U,4558884.8804688,-4798.4026188222,16120,ROUTE DE BLANZAC,Châteauneuf-sur-Charente,R
1475,16120004,Carrefour,4560000.0,-5500.0,16120,PLACE DE LA GARE - 3 BLD GAMBETTA,Châteauneuf-sur-Charente,R
1476,16130002,Intermarché,4561787.0,-21934.0,16130,ROUTE DE COGNAC,SEGONZAC,R
1477,16140002,Carrefour,4589992.0641752,1484.617568,16140,2 Clos Chabot,Villejésus,R
1478,16150003,Système U,4587800.0,72600.0,16150,ZA DE CHASSAT,CHABANAIS,R
1479,16150004,Elan,4587221.560482,68209.246867894,16150,RN 141,CHABANAIS,R
1480,16160001,Avia,4568267.1292637,17728.895022,16160,Route de Paris,GOND-PONTOUVRE,R
1481,16170001,Système U,4577700.0,-6100.0,16170,ROUTE DE GENAC,ROUILLAC,R
1482,16190001,Système U,4540063.0,13040.0,16190,58 Avenue de l Augoumois,Montmoreau-Saint-Cybard,R
1483,16200001,Système U,4569096.0364153,-17360.081481934,16200,Avenue d'Ecosse,JARNAC,R
1484,16200003,Intermarché,4568581.065,-16473.549,16200,Avenue de l'Europe,JARNAC,R
1485,16200005,Intermarché,4568102.0,-16392.0,16200,40 avenue Général Leclerc,Jarnac,R
1486,16210001,Intermarché,4527300.0,4200.0,16210,Rue de la Tude,Chalais,R
1487,16220001,Intermarché,4566500.0,50100.0,16220,Place de l'Hôtel de Ville,Montbron,R
1488,16230002,Système U,4587400.0,18100.0,16230,Rue Grange du Chapître,Mansle,R
1489,16230004,Avia,4587300.0,17300.0,16230,AVENUE PAUL MAIRAT,MANSLE,R
1490,16250001,Carrefour,4547271.338,4810.332,16250,AUX NAULETS PEREUIL,Blanzac-Porcheresse,R
1491,16260001,TotalEnergies,4581500.0,44300.0,16260,Route d'Angoulême,Chasseneuil-sur-Bonnieure,R
1492,16260002,Intermarché,4582700.0,45400.0,16260,2 Rue de la Gare,CHASSENEUIL-SUR-BONNIEURE,R
1493,16270001,Système U,4588200.0,58300.0,16270,Rue des Paleines,ROUMAZIERES-LOUBERT,R
1494,16270003,Intermarché,4588434.0,57522.0,16270,122 Rue Nationale,Roumazières-Loubert,R
1495,16300001,TotalEnergies,4546000.0,-14300.0,16300,Lieu-Dit Plaisance,BARBEZIEUX-SAINT-HILAIRE,A
1496,16300004,Intermarché,4546704.0,-16519.0,16300,Avenue de l'Europe,BARBEZIEUX-SAINT-HILAIRE,R
1497,16300005,E.Leclerc,4546600.0,-16400.0,16300,Avenue de l'Europe,Barbezieux-Saint-Hilaire,R
1498,16320003,Système U,4548200.0,27800.0,16320,1 ROUTE DE SIGALAUD,Villebois-Lavalette,R
1500,16330001,Intermarché,4580400.0,14000.0,16330,Route de Mansle,Saint-Amant-de-Boixe,R
1501,16340002,Esso,4566500.0,20100.0,16340,250 Avenue de la République,L'ISLE-D'ESPAGNAC,R
1502,16350001,Carrefour,4598900.0,40700.0,16350,RUE sapin vert,CHAMPAGNE-MOUTON,R
1503,16360001,TotalEnergies,4542582.0487558,-17272.59261077,16360,RN 10,Reignac,R
1504,16360002,Intermarché,4538500.0,-23000.0,16360,Route de Barbezieux CD 14,Baignes-Sainte-Radegonde,R
1505,16400001,Auchan,4562010.2277417,10582.928416,16400,Route de Bordeaux,LA COURONNE,R
1506,16400002,Système U,4560700.0,9000.0,16400,96 Avenue de la Gare,LA COURONNE,R
1508,16430004,Intermarché,4568300.0,17900.0,16430,ZA Les Montagnes Les Plantes Neuves,Champniers,R
1509,16430005,TotalEnergies Access,4570100.0,18200.0,16430,RN 10 - LES CHAUVAUDS,CHAMPNIERS,R
1511,16500002,Intermarché,4602100.0,65600.0,16500,Avenue du 8 Mai 1945,CONFOLENS,R
1512,16500005,Intermarché,4599971.8679102,67353.265612794,16500,2 Rue Arnaud Beltrame - ZA du pré de l'étang,Confolens,R
1513,16500006,Esso,4598927.3646187,61530.42573943,16500,Le cerisier de la Barre,Ansac-sur-Vienne,R
1514,16600001,Intermarché,4568019.0,21081.0,16600,Avenue Foch,RUELLE-SUR-TOUVRE,R
1516,16700003,E.Leclerc,4602138.0,18967.0,16700,Route d'Aigre ,Ruffec,R
1517,16700004,Intermarché,4603115.60425,20408.8594397,16700,Avenue du Professeur Girard,RUFFEC,R
1519,16710001,Système U,4567332.8363059,12522.459830092,16710,183 rue de Saint Jean d'Angély,Saint-Yrieix-sur-Charente,R
