,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
0,1000001,Carrefour,4620100.0,519800.0,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,R
1,1000002,Carrefour,4621842.0,522767.0,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,R
2,1000004,TotalEnergies,4618800.0,524500.0,1000,20 Avenue du Maréchal Juin,Bourg-en-Bresse,R
3,1000007,E.Leclerc,4622100.0,524500.0,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,R
4,1000008,Carrefour,4619900.0,524100.0,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,R
5,1000009,Intermarché,4619600.0,522900.0,1000,56 Rue du Stand,Bourg-en-Bresse,R
6,1000012,TotalEnergies,4620100.0,520000.0,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,R
7,1000013,TotalEnergies Access,4619900.0,524400.0,1000,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse,R
8,1000016,TotalEnergies Access,4620516.06,522502.48,1000,1 bvd John Kennedy,Bourg en Bresse,R
9,1090001,Auchan,4609600.0,477500.0,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,R
11,1100002,Carrefour,4625000.0,564400.0,1100,Rue Brillat-Savarin,OYONNAX,R
12,1100004,Avia,4627200.0,566000.0,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,R
13,1100006,Intermarché,4626200.0,564800.0,1100,74 Rue Jules Michelet,Oyonnax,R
14,1100007,TotalEnergies,4625000.0,564100.0,1100,174 COURS DE VERDUN,OYONNAX,R
17,1110001,Carrefour,4597800.0,559900.0,1110,Rue Masonod,HAUTEVILLE-LOMPNES,R
18,1120004,Système U,4585300.0,505900.0,1120,Cours de la Portelle,MONTLUEL,R
19,1120005,Intermarché,4584700.0,504800.0,1120,Route de Thil,LA BOISSE,R
20,1120006,TotalEnergies,4584600.0,504100.0,1120,521 ROUTE NATIONALE,La Boisse,R
22,1120008,TotalEnergies,4584700.0,507400.0,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,A
23,1130002,Avia,4616700.0,569100.0,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,R
24,1130003,TotalEnergies Access,4615800.0,560400.0,1130,RTE DE LA CLUSE RN 84,NANTUA,R
25,1140001,Système U,4618000.0,481700.0,1140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,R
26,1150001,Carrefour,4590200.0,534600.0,1150,8 RUE DE L'INDUSTRIE,LAGNIEU,R
27,1150002,TotalEnergies,4583900.0,527800.0,1150,Avenue Charles de Gaulle,SAINT-VULBAS,R
28,1160002,Système U,4604000.0,534200.0,1160,Le Pont Rompu - RD 1084,PONT-D'AIN,R
29,1160003,Intermarché,4607400.0,537600.0,1160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,R
30,1160005,TotalEnergies Access,4605335.06156,533741.036717,1160,RTE DE BOURG RN 75,Pont-d'Ain,R
31,1170001,Carrefour,4629300.0,607900.0,1170,RN5,SéGNY,R
32,1170002,Carrefour,4632200.0,605300.0,1170,Lieu-Dit les Vertes Campagnes,GEX,R
33,1170003,Intermarché,4633755.0,607534.0,1170,Route de Divonne les Bains,Gex,R
34,1170005,Avia,4633522.0,605800.0,1170, Avenue des Tilleuls,GEX,R
35,1190001,Avia,4644200.0,497000.0,1190,PAE Pont de Vaux Est,Saint-Bénigne,R
36,1200001,Carrefour,4610600.0,582300.0,1200,69 Rue de la République,Bellegarde-sur-Valserine,R
37,1200003,Carrefour,4612400.0,581200.0,1200,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,R
38,1210001,Carrefour,4625303.0,611817.0,1210,Chemin de la Brunette,FERNEY-VOLTAIRE,R
39,1210003,E.Leclerc,4624400.0,609500.0,1210,Route de Meyrin,FERNEY-VOLTAIRE,R
40,1220001,Carrefour,4634300.0,614100.0,1220,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,R
41,1230002,Avia,4594200.0,543200.0,1230,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,R
42,1230003,Elan,4592100.0,539400.0,1230,RD 1504,Torcieu,R
43,1250002,BP,4620500.0,529500.0,1250,AIRE DE BOURG TEYSSONGE A 40,Ceyzériat,A
44,1250004,Avia,4613408.0,528880.0,1250,route de la Vavrette,TOSSIAT,R
45,1250005,TotalEnergies,4620355.8237727,529588.28488323,1250,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,A
46,1250006,Système U,4617972.0878139,532494.62851004,1250,51 route de jasseron,Ceyzériat,R
47,1270003,TotalEnergies,4638200.0,534500.0,1270,82 GRANDE RUE,COLIGNY,R
48,1290001,Système U,4625500.0,489000.0,1290,254 Route de Chatillon Sur Chalaronne,LAIZ,R
49,1300001,Carrefour,4576000.0,568600.0,1300,ZAC DE L OUSSON,Belley,R
51,1300003,Intermarché,4577800.0,568900.0,1300,RN 504 - ZI de Penaye,Chazey-Bons,R
52,1310001,TotalEnergies,4625082.58935,511211.332738,1310,1123 Route de Mâcon,POLLIAT,R
53,1310003,Casino,4625600.0,505700.0,1310,Lieu-dit Logis-Neuf,Confrançon,R
55,1320001,TotalEnergies,4599100.0,516900.0,1320,259 ROUTE DE MEXIMIEUX,CHALAMONT,R
56,1320002,Casino,4599800.0,517700.0,1320,Lieu dit lePetit Étang,Chalamont,R
58,1330002,Système U,4600700.0,503500.0,1330,zac de la tuilerie,VILLARS-LES-DOMBES,R
59,1330003,TotalEnergies,4599900.0,489900.0,1330,245 ROUTE DU 3 SEPTEMBRE 1944,Amberieux-en-Dombes,R
60,1340002,TotalEnergies,4632300.0,513700.0,1340,1699 ROUTE DE BOURG,Malafretaz,R
61,1340003,Intermarché,4634600.0,512600.0,1340,Les Cézilles,Jayat,R
63,1340005,Carrefour,4633472.64,512600.21,1340,103 RUE DES LUYERS,Montrevel-en-Bresse,R
64,1350003,Intermarché,4584829.0858556,577006.40752309,1350,PARC D'ACTIVITE DES FOURS,Béon,R
65,1350004,Carrefour,4584733.2623162,578691.58896959,1350,450 AVENUE JEAN FALCONNIER,Culoz,R
66,1360002,Elan,4584900.0,512000.0,1360,316 Route de Lyon,BALAN,R
67,1370001,TotalEnergies,4628100.0,528900.0,1370,395 route de Bourg,SAINT-ÉTIENNE-DU-BOIS,R
68,1370003,Intermarché,4627000.0,529300.0,1370,40 Chemin de la Bergaderie,Saint-Étienne-du-Bois,R
70,1390001,Carrefour,4592700.0,495800.0,1390,70 Allées des Marronniers,Saint-André-de-Corcy,R
71,1390002,TotalEnergies,4592800.0,498800.0,1390,Z.I. DE SURE,Saint-André-de-Corcy,R
72,1390009,ENI,4588900.0,489400.0,1390,AIRE DE MIONNAY EST CHATANAYAUTOROUTE A 46,MIONNAY,A
73,1390010,Intermarché,4593200.0,495800.0,1390,ZI DE LA SURE,St André de Corcy,R
75,1400001,Carrefour,4611900.0,496100.0,1400,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,R
76,1400005,Intermarché,4611765.0,496036.0,1400,ROUTE DE MARLIEUX,Châtillon-sur-Chalaronne,R
79,1430003,ENI,4611809.562494,549110.62795291,1430,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,A
80,1430004,Avia,4612800.0,554000.0,1430,2 Rue de l'Égalité,Maillat,R
81,1430005,TotalEnergies,4612370.0,549956.0,1430,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,A
82,1440001,TotalEnergies,4623800.0,522800.0,1440,1029 ROUTE DE MARBOZ-LOUHANS,VIRIAT,R
83,1440002,TotalEnergies,4623600.0,526300.0,1440,531 Route de Strasbourg,VIRIAT,R
84,1440003,Avia,4621700.0,521300.0,1440,261 Route de Paris,Viriat,R
85,1460001,Carrefour,4617225.0,557729.0,1460,68 Rue du Jura,MONTREAL-LA-CLUSE,R
86,1460002,TotalEnergies,4618700.0,552600.0,1460,18 Route du Berthiand,Nurieux-Volognat,R
87,1460003,Intermarché,4616600.0,557100.0,1460,Rue de l'industrie,Port,R
88,1470002,Intermarché,4578776.0,545414.0,1470, Rue des Verchères,BRIORD,R
89,1480001,Carrefour,4598403.0,475694.0,1480, Rue Édouard Herriot,JASSANS-RIOTTIER,R
90,1480004,TotalEnergies,4604981.7093241,476551.06176786,1480,850 RD 933,Messimy-sur-Saône,R
91,1500001,Carrefour,4596243.9754254,535907.07856714,1500,Rue Alexandre Bérard,Ambérieu-en-Bugey,R
92,1500003,TotalEnergies,4597600.0,530900.0,1500,"550, Avenue Jean Mermoz",CHâTEAU-GAILLARD,R
93,1500004,Avia,4595700.0,533285.0,1500,15 Avenue de la Libération,AMBéRIEU-EN-BUGEY,R
94,1500006,Avia,4597592.0,530925.0,1500,"550, RUE JEAN MERMOZ",CHâTEAU-GAILLARD,R
95,1500007,Intermarché,4597200.0,533800.0,1500,CENTRE COMMERCIAL DE L'AVIATIONRAIS,Ambérieu-en-Bugey,R
96,1500008,TotalEnergies,4594000.0,537700.0,1500,"Avenue Jules Pellaudin, station service total",AMBERIEU-EN-BUGEY,R
97,1510003,Carrefour,4587300.0,569800.0,1510,"1 rue des champs ""les terrasses""",Artemare,R
98,1540001,Carrefour,4619800.0,499400.0,1540,184 rue du 19 mars 1962,VONNAS,R
99,1540003,Intermarché,4621300.0,499500.0,1540,zac les grand varays route de neuville,Vonnas,R
100,1560001,Intermarché,4645900.0,507500.0,1560,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,R
101,1570001,Intermarché,4632900.0,488500.0,1570,195 Grande Rue,FEILLENS,R
102,1590001,Avia,4632200.0,565600.0,1590,"18, Rue du 21 Juillet 1944",DORTAN,R
103,1590002,Intermarché,4632500.0,567200.0,1590,ZAC sous la Combe,LAVANCIA-EPERCY,R
104,1600001,Carrefour,4582800.0,497200.0,1700,Rue du Figuier,MIRIBEL,R
105,1600002,Carrefour,4593472.4745,479062.770497,1600,324 Route de Lyon,TREVOUX,R
106,1600003,Auchan,4590400.0,482000.0,1600,Avenue Lavoisier,MASSIEUX,R
107,1630001,Carrefour,4624200.0,602500.0,1630,RUE DE GENEVE -,SAINT-GENIS-POUILLY,R
108,1630003,Intermarché,4626326.0,602950.0,1630,148 Rue des Chalets,SAINT-GENIS-POUILLY,R
109,1630004,Intermarché,4618300.0,592900.0,1630,ZA DU PRE MUNNY,PéRON,R
111,1640001,Elan,4603500.0,539000.0,1640,573 route de Genève,Saint-Jean-le-Vieux,R
112,1640003,TotalEnergies,4603487.6030469,538945.26948339,1640,573 route de Geneve,Saint-Jean-le-Vieux,R
113,1700003,Esso,4587100.0,491200.0,1700,RN 83,Miribel,R
114,1700004,E.Leclerc,4582600.0,499900.0,1700,ZAC des Baterses,BEYNOST,A
116,1750001,Intermarché,4629900.0,488100.0,1750,223 route de Bourg-en-Bresse,Replonges,R
117,1800001,Carrefour,4590100.0,519100.0,1800,47 Route de Lyon,MEXIMIEUX,R
118,1800002,Elan,4582100.0,520000.0,1800,11 route de Port-Galland,Saint-Maurice-de-Gourdans,R
119,1800003,Intermarché,4591162.3208373,518971.44887676,1800,ROUTE DE CHALAMONT,Meximieux,R
120,1960001,Carrefour,4618200.0,521400.0,1960,Chemin de Bellevue,PERONNAS,R
121,1960005,Intermarché,4612800.0,516300.0,1960,50 RUE DES ACACIAS,SERVAS,R
122,1960006,ENI,4619100.0,521100.0,1960,148 AVENUE DE LYON,Péronnas,R
123,1980001,TotalEnergies,4577900.0,521300.0,1360,63 Rue du Bugey,LOYETTES,R
124,2000002,Carrefour,4954800.0,361600.0,2000,ZAC ILE DE FRANCE,LAON,R
125,2000003,Carrefour,4957005.31713,360820.562241,2000,16 RUE FERNAND CHRIST,LAON,R
126,2000005,TotalEnergies,4956900.0,364600.0,2000,97 Avenue Charles de Gaulle,Laon,R
127,2000007,Esso,4957000.0,362100.0,2000,16 Boulevard Pierre Brossolette,Laon,R
128,2000008,E.Leclerc,4958700.0,364900.0,2000,rue Jean Jaures,CHAMBRY,R
129,2000009,Intermarché,4958257.0669759,364425.13545677,2000,167 Avenue Pierre Mendès France,Laon,R
130,2000010,Carrefour,4956363.2230136,364568.61996276,2000,RUE DU DR MENU,Laon,R
131,2000011,TotalEnergies Access,4957100.0,365500.0,2000,ZAC DU CHAMP DU ROY,Laon,R
132,2100001,Auchan,4985800.0,325300.0,2100,route d'Amiens,St Quentin,R
133,2100008,Esso,4984400.0,327900.0,2100,46 Avenue Faidherbe,Saint-Quentin,R
134,2100009,E.Leclerc,4984300.0,332300.0,2100,Route de Guise,HARLY,R
135,2100011,TotalEnergies Access,4984800.0,327200.0,2100,98 rue Alexandre Dumas,SAINT-QUENTIN,R
137,2100013,Intermarché,4985366.40026,326295.970618,2100,Rue Antoine Parmentier,SAINT-QUENTIN,R
139,2100019,Intermarché,4984785.0,330117.0,2100,153 Rue de Mulhouse,SAINT-QUENTIN,R
140,2100020,TotalEnergies Access,4983410.0,329966.0,2100,BLD CAMILLE GUERIN,Saint-Quentin,R
141,2100021,E.Leclerc,4982437.906,331075.437,2100,rue de la Fère,Neuville-Saint-Amand,R
142,2110002,Intermarché,4998100.0,345100.0,2110,rue de Saint-Quentin,BOHAIN-EN-VERMANDOIS,R
143,2120003,Carrefour,4990316.0,362899.0,2120,RUE SADI CARNOT,GUISE,R
144,2120004,Intermarché,4990249.0,363841.0,2120,Rue des Docteurs Devillers,GUISE,R
145,2120005,TotalEnergies,4989600.0,362600.0,2120,"56, rue du jeu de Paume",Guise,R
146,2130001,Système U,4920100.0,351100.0,2130,Rue du Stade,FèRE-EN-TARDENOIS,R
147,2130005,Avia,4907771.0,337046.0,2130,autoroute A4 aire de tardenois sud,Fresnes-en-Tardenois,A
148,2130006,Avia,4907771.0,337046.0,2130,Autoroute de l'Est,Fresnes-en-Tardenois,A
149,2140003,Intermarché,4983877.7788156,391678.79440021,2140,ZI de la Briquetterie,Vervins,R
150,2170001,Carrefour,5001300.0,378100.0,2170,RUE DES VERRIERS,LE NOUVION-EN-THIéRACHE,R
151,2190003,Avia,4944872.0,392652.0,2190,A26 - Aire du Champ Roland,Guignicourt,A
152,2190005,Avia,4944508.4070022,392761.87076699,2190,AUT A 26- AIRE DU MONT NIZY,Juvincourt-et-Damary,A
154,2190007,Carrefour,4943503.6675202,396689.49241097,2190,3 Rue Pierre Curtil,Guignicourt,R
156,2200007,Esso,4938600.0,333300.0,2200,1 Place de Laon,Soissons,R
157,2200008,Esso,4936400.0,330400.0,2200,183 ROUTE DE PARIS,Vauxbuin,R
158,2200010,Intermarché,4937046.0,332985.0,2200,43 Avenue de Château-Thierry,Belleu,R
159,2200011,Carrefour,4938127.0,330822.0,2200,Avenue de Compiègne,MERCIN-ET-VAUX,R
160,2200012,Carrefour,4936299.0,340346.0,2200,Rue d'Acy,Venizel,R
161,2200013,TotalEnergies,4938100.0,330200.0,2200,AV.DE COMPIEGNE - RN.31,Mercin-et-Vaux,R
162,2200014,TotalEnergies,4936800.0,332900.0,2200,50 BIS ROUTE DE CHATEAU THIERRY,SOISSONS,R
163,2200015,TotalEnergies Access,4937100.0,334100.0,2200,9 ET 11 RUE DE VILLENEUVE,SOISSONS,R
164,2220001,Carrefour,4934100.0,352900.0,2220,34 BD DE MONTPELLIER,BRAINE,R
165,2230002,Carrefour,4995800.0,343000.0,2230,1000 rue jean jaures,Fresnoy-le-Grand,R
166,2240001,Intermarché,4980095.0,346696.0,2240,74 Rue Blondel,RIBEMONT,R
167,2240002,TotalEnergies Access,4984300.0,390500.0,2140,73 chaussee de fontaine,Fontaine-lès-Vervins,R
168,2250001,Carrefour,4974300.0,377300.0,2250,Rue Saint Nicolas,MARLE,R
169,2250004,TotalEnergies,4975000.0,377200.0,2250,18 route de Thiernu,Marle,R
170,2260001,Carrefour,4997300.0,391800.0,2260,rue de l'armistice,LA CAPELLE,R
171,2270001,Carrefour,4968900.0,362200.0,2270,2 AVENUE DE LA LIBERATION,Crécy-sur-Serre,R
172,2280001,Intermarché,4953100.0,385600.0,2820,"CD 24, route de liesse",SAINT-ERME-OUTRE-ET-RAMECOURT,R
173,2290002,Intermarché,4939680.7142795,311562.94899994,2290,AVENUE DE LA GARE,Ressons-le-Long,R
174,2300001,Auchan,4964287.0,325950.0,2300,RD 338,Viry-Noureuil,R
175,2300002,Carrefour,4959100.0,323400.0,2300,CHEMIN DEPARTEMENTAL 937,AUTREVILLE,R
176,2300006,Intermarché,4962645.0,321575.0,2300,Boulevard de l'Europe,Chauny,R
177,2300009,Carrefour,4951975.29,314929.08,2300,24 rue du point du jour,Blérancourt,R
178,2310001,Système U,4897646.0,328015.0,2310,route de pavant,CHARLY,R
179,2310002,Avia,4919600.0,351400.0,2130,47 Rue Jules Lefèbvre,Fère-en-Tardenois,R
181,2320002,Intermarché,4950600.0,344000.0,2320,Rue de Coucy,ANIZY-LE-CHâTEAU,R
182,2340001,Carrefour,4968900.0,402200.0,2340,14 ROUTE DE MONTCORNET,LISLET,R
184,2360001,Intermarché,4970400.0,411200.0,2360,Lieu dit du grand hôtel,Rozoy-sur-Serre,R
185,2370005,Carrefour,4940563.6006256,351497.54981475,2370,20 AVENUE JEAN JAURES,VAILLY SUR AISNE,R
186,2380002,TotalEnergies Access,4948900.0,333600.0,2380,D1 - LIEU DIT LE PRE MONTRE,Crécy-au-Mont,R
188,2400001,Carrefour,4904000.0,338700.0,2400,37 Avenue d'Essômes,CHâTEAU-THIERRY,R
189,2400004,E.Leclerc,4903700.0,339000.0,2400,Z.I rue de la Plaine,CHÂTEAU-THIERRY,R
191,2400008,Avia,4904300.0,339500.0,2400,13 Avenue Jules Lefèbvre,Château-Thierry,R
192,2420001,TotalEnergies,4996029.0,323160.0,2420,39 Rue de Picardie,Bellicourt,R
193,2430001,Intermarché,4982606.0,327920.0,2430, Rue Auguste Delaune,GAUCHY,R
194,2450002,Carrefour,5000100.0,368700.0,2450,16 RUE DU 2 SEPTEMBRE 1944,LA NEUVILLE-LèS-DORENGT,R
195,2450003,Carrefour,4997729.68,367681.51,2450,16 RUE DU 2 SEPTEMBRE 1944,La Neuville-lès-Dorengt,R
196,2460003,Carrefour,4918498.6815428,312137.87735999,2460,12 rue de villers,La Ferté-Milon,R
197,2470001,E.Leclerc,4916900.0,325700.0,2470,2 RUE Jese RACINE,Neuilly-Saint-Front,R
198,2480002,Carrefour,4973353.6180498,324505.95752321,2480,Rond point de la victoire,Jussy,R
199,2500001,Auchan,4991117.4181842,409008.04252982,2500,AVENUE DE VERDUN,HIRSON,R
200,2500003,E.Leclerc,4991600.0,407700.0,2500,Avenue du General Debeney,HIRSON,R
201,2500004,TotalEnergies Access,4992100.0,408400.0,2500,102 RUE CHARLES DE GAULLE,HIRSON,R
203,2600004,Avia,4925200.0,305900.0,2600,RTE NATIONALE 2  CHEMIN DE LA NONNE,VILLERS-COTTERêTS,R
204,2600005,TotalEnergies,4925113.78044,307679.246569,2600,36 ROUTE DE LA FERTE MILON,VILLERS-COTTERÊTS,R
205,2600006,Carrefour,4925600.0,308000.0,2600,231rd rue du general leclerc,Villers-Cotterêts,R
206,2600007,TotalEnergies,4925600.0,308300.0,2600,85 rue du général Leclerc,Villers-Cotterêts,R
207,2603001,E.Leclerc,4924000.0,309800.0,2600,Avenue de la Ferté Milon,VILLERS-COTTERêTS,R
209,2690002,TotalEnergies,4977752.0,327799.0,2690,AUTOROUTE A26 - AIRE D'URVILLERS,Essigny-le-Grand,A
210,2700001,TotalEnergies,4965000.0,328000.0,2700,213 Boulevard Gambetta,CONDREN,R
211,2800003,E.Leclerc,4966000.0,334600.0,2800,Le Chemin Blanc,BEAUTOR,R
212,2800004,Carrefour,4966023.0,337185.0,2800,1 Chemin de Danizy,LA FèRE,R
213,2860001,TotalEnergies,4953200.0,365300.0,2860,89 RUE PORTE DE LAON,Bruyères-et-Montbérault,R
216,3000001,Carrefour,4654100.0,334400.0,3000,169 ROUTE DE LYON,MOULINS,R
217,3000003,E.Leclerc,4658700.0,331500.0,3000,2 Rue Alphonse Daudet,Avermes,R
218,3000004,TotalEnergies,4660300.0,330400.0,3000,le pré-vert,MOULINS,R
219,3000005,Intermarché,4656200.0,332000.0,3000,16 Route de Montilly,MOULINS,R
220,3000006,E.Leclerc,4659071.6994114,332257.07144141,3000,ZAC les portes de l'Allier,Avermes,R
221,3100001,Carrefour,4634744.38067,260218.545365,3100,Quai ledru Rollin,MONTLUçON,R
222,3100002,TotalEnergies,4634300.0,259200.0,3100,52 Rue Paul Constans,MONTLUçON,R
223,3100005,E.Leclerc,4635300.0,258700.0,3100,Avenue Pierre Villon,MONTLUçON,R
224,3100006,Avia,4635591.0,280030.0,3170,A71 aire de l'Allier Saulzet (sens province paris),Doyet,A
225,3100007,E.Leclerc,4632005.8353029,258098.68850979,3100,345 AVENUE PRESIDENT AURIOL,MONTLUCON,R
226,3100008,Intermarché,4633362.0,260087.0,3100,Rue de la Rotonde,Montluçon,R
227,3100009,ENI,4632800.0,260900.0,3100,106 Avenue John Kennedy,Montluçon,R
228,3100010,Intermarché,4634000.0,258200.0,3100,AVENUE JULES GUESDE,MONTLUçON,R
229,3110001,TotalEnergies,4615500.0,339400.0,3110,19 Route de Saint-Pourçain,CHARMEIL,R
230,3110003,Avia,4619200.0,326500.0,3110,24 Village Des Combes,Broût-Vernet,R
231,3120001,ENI,4624800.0,363000.0,3120,94 RUE PRESIDENT ROOSEVELT,LAPALISSE,R
232,3120002,Carrefour,4625590.2605517,362247.03584643,3120,RUE DE VERDUN,LAPALISSE,R
233,3120003,Intermarché,4625645.3019739,362210.78417659,3120,AVENUE JEAN MASSE,Lapalisse,R
234,3120004,TotalEnergies Access,4624552.2061353,361156.8909912,3120,zac les pres de la grand route,Lapalisse,R
237,3150001,TotalEnergies,4632200.0,339200.0,3150,"66, avenue de Chazeuil",VARENNES-SUR-ALLIER,R
238,3150005,Carrefour,4631600.0,339800.0,3150,98 avenue de Chazeuil,VARENNES-SUR-ALLIER,R
239,3150006,Avia,4632800.0,338800.0,3150,11 AV DE CHAZEUIL,VARENNES-SUR-ALLIER,R
241,3160001,Carrefour,4658333.0,306336.0,3160,Avenue Emile Guillaumin,BOURBON-L'ARCHAMBAULT,R
242,3170001,Avia,4633510.0,279688.0,3170,A71 aire de l'Allier Doyet(sens paris province),Doyet,A
243,3190004,Carrefour,4653100.0,262200.0,3190,1 route de montluçon,Vallon-en-Sully,R
244,3190005,Carrefour,4653100.0,262200.0,3190,1 ROUTE DE MONTLUCON,VALLON EN SULLY,R
245,3200002,TotalEnergies,4611614.0,343769.0,3200,57 Avenue Poincaré,VICHY,R
246,3200003,TotalEnergies,4613100.0,343400.0,3200,48 Avenue de Gramont,VICHY,R
248,3210001,Intermarché,4653600.0,320300.0,3210,1 ROUTE DE COSNE,SOUVIGNY,R
249,3240003,TotalEnergies,4638000.0,304000.0,3240,route de longeville,Deux-Chaises,R
250,3250002,Intermarché,4606849.0,366341.0,3250,Route des Ferrières,Le Mayet-de-Montagne,R
251,3260001,Intermarché,4620500.0,343200.0,3260,8 RUE PIERRE SEMARD,Saint-Germain-des-Fossés,R
252,3270001,Carrefour,4605456.08,347014.954,3270,3 RUE DU BOIS DES JARRAUX,SAINT-YORRE,R
253,3290001,Avia,4652900.0,366900.0,3290,la chapelle,Dompierre-sur-Besbre,R
254,3290002,Système U,4651700.0,369200.0,3290,464 ROUTE DE DIOU,DOMPIERRE SUR BESBRE,R
255,3290003,Esso,4652300.0,368000.0,3290,223 RUE NATIONALE,DOMPIERRE SUR BESBRE,R
256,3300001,Carrefour,4613843.645,344866.775,3300,RTE DE CHARMEIL,CUSSET,R
257,3300002,TotalEnergies,4613400.0,344900.0,3300,24 Rue de la République,CUSSET,R
258,3300003,Carrefour,4613600.0,345500.0,3300,rue des peupliers,CUSSET,R
259,3310002,Intermarché,4628300.0,266900.0,3310,Route de Clermont,Néris-les-Bains,R
260,3320001,Avia,4673100.0,293800.0,3320,ROUTE DE MOULINS,Lurcy-Lévis,R
261,3350002,Carrefour,4661658.854,282206.505,3350,Avenue Jean Jaurès,Cérilly,R
262,3360001,Intermarché,4670500.0,269500.0,3360,rue du pavé,AINAY-LE-CHATEAU,R
263,3380001,TotalEnergies,4640600.281,252902.817,3380,RELAIS DES TARTASSES,LA CHAPELAUDE,R
264,3380002,Intermarché,4637200.0,247100.0,3380,Rue Calaubys,HURIEL,R
265,3390003,Carrefour,4632100.0,296100.0,3390,ROUTE DE MOULINS,MONTMARAULT,R
266,3390004,ENI,4632400.0,296400.0,3390,route de moulins,Montmarault,R
268,3400001,TotalEnergies,4655800.0,333500.0,3400,"28, route de Lyon",YZEURE,R
269,3400003,Avia,4656300.0,335500.0,3400,28 Rue Bergeron-Vebret,Yzeure,R
270,3400004,Carrefour,4656669.39,335471.22148461,3400,RD12 ZONE LA PLAINE BODIN - 65 ROUTE DE MONTBEUGNY,Yzeure,R
273,3410001,Auchan,4633800.0,256700.0,3410,65 Avenue des Martyrs,Domérat,R
274,3410004,ENI,4638800.0,261300.0,3410,ROUTE DE PARIS,SAINT-VICTOR,R
275,3410007,Esso,4633800.0,256400.0,3410,61 avenue des Martyrs,DOMERAT,R
276,3410008,E.Leclerc,4636701.0,256526.0,3410,Rue de la Chevêche,Domérat,R
277,3410009,E.Leclerc,4637833.7771105,258540.0885507,3410,Lieu-dit La Loue,Saint-Victor,R
278,3410010,Casino,4636200.0,253400.0,3410,8 RUE ANDRE MESSAGER,DOMERAT,R
279,3430001,Carrefour,4647400.0,282700.0,3430,Route de Hérisson,COSNE-D'ALLIER,R
281,3500002,Carrefour,4631156.0,328058.0,3500,Route de Montmarault,SAINT-POURçAIN-SUR-SIOULE,R
282,3500003,TotalEnergies,4630650.562,329404.326,3500,Quartier Tivoli,SAINT-POURCAIN-SUR-SIOULE,R
283,3500004,Avia,4633800.0,328500.0,3500,4 RUE ARMAND QUEROY,SAULCET,R
285,3500006,TotalEnergies Access,4629000.0,329300.0,3500,168 ROUTE DE GANNAT,Saint-Pourçain-sur-Sioule,R
286,3600001,Carrefour,4629400.0,274100.0,3600,Avenue Edouard Vaillant,COMMENTRY,R
287,3600003,Intermarché,4629151.0,273992.0,3600,LA BRANDE MALICORNE,COMMENTRY,R
288,3600004,TotalEnergies,4628900.0,274400.0,3600,12 RUE JEAN JACQUES ROUSSEAU,COMMENTRY,R
289,3630003,TotalEnergies Access,4634500.0,261900.0,3630,12 RUE AMBROISE CROIZAT,DESERTINES,R
290,3630004,Carrefour,4635500.0,262100.0,3630,51 RUE DE LA REPUBLIQUE,DESERTINES,R
291,3700002,TotalEnergies,4611763.18824,341182.476871,3700,22 avenue de la République,BELLERIVE-SUR-ALLIER,R
292,3700004,E.Leclerc,4611400.0,341800.0,3700,Rue Rhin et Danube,BELLERIVE-SUR-ALLIER,R
293,3800003,Auchan,4609904.0261285,320293.00292,3800,Avenue de la Gare,GANNAT,R
294,3800004,TotalEnergies,4609963.00266,321174.619218,3800,6 Avenue P.Mendes france,GANNAT,R
295,3800005,TotalEnergies,4611000.0,319800.0,3800,77 rue des Capucins,GANNAT,R
296,3800006,Intermarché,4608000.0,320100.0,3800,12 avenue des Portes Occitanes,Gannat,R
297,3800007,Carrefour,4608417.9728058,320071.52920654,3800,1 AVENUE DES PORTES OCCITANES,GANNAT,R
300,4000001,Carrefour,4407600.0,618800.0,4000,ROUTE DE MARSEILLE,DIGNE-LES-BAINS,R
301,4000003,Esso,4408800.0,622200.0,4000,39 AV DE VERDUN,Digne-les-Bains,R
302,4000004,Intermarché,4408960.0,623748.0,4000,8 avenue du 8 Mai 1945,Digne-les-Bains,R
303,4100001,Système U,4418816.66081,594679.759778,4204,9 avenue des Plantiers BP201,SISTERON,R
